time,open,close,high,low
2020-01-17 03:40:00,1.11327,1.11328,1.11329,1.11325
2020-01-17 03:45:00,1.11328,1.11331,1.11332,1.11327
2020-01-17 03:50:00,1.11332,1.11332,1.11338,1.11331
2020-01-17 03:55:00,1.11333,1.11313,1.11333,1.11312
2020-01-17 04:00:00,1.11312,1.11317,1.11318,1.11311
2020-01-17 04:05:00,1.11318,1.11321,1.11322,1.11318
2020-01-17 04:10:00,1.11321,1.11332,1.11339,1.11321
2020-01-17 04:15:00,1.11332,1.11332,1.11335,1.11328
2020-01-17 04:20:00,1.11332,1.11327,1.11334,1.11326
2020-01-17 04:25:00,1.11326,1.11322,1.11327,1.11320
2020-01-17 04:30:00,1.11323,1.11323,1.11326,1.11322
2020-01-17 04:35:00,1.11323,1.11314,1.11324,1.11313
2020-01-17 04:40:00,1.11314,1.11313,1.11319,1.11310
2020-01-17 04:45:00,1.11312,1.11318,1.11318,1.11312
2020-01-17 04:50:00,1.11317,1.11328,1.11331,1.11317
2020-01-17 04:55:00,1.11329,1.11322,1.11329,1.11322
2020-01-17 05:00:00,1.11322,1.11327,1.11327,1.11321
2020-01-17 05:05:00,1.11326,1.11332,1.11336,1.11322
2020-01-17 05:10:00,1.11332,1.11338,1.11341,1.11332
2020-01-17 05:15:00,1.11337,1.11352,1.11352,1.11333
2020-01-17 05:20:00,1.11353,1.11347,1.11358,1.11346
2020-01-17 05:25:00,1.11348,1.11348,1.11353,1.11341
2020-01-17 05:30:00,1.11347,1.11367,1.11367,1.11346
2020-01-17 05:35:00,1.11367,1.11372,1.11373,1.11361
2020-01-17 05:40:00,1.11372,1.11378,1.11378,1.11367
2020-01-17 05:45:00,1.11377,1.11374,1.11378,1.11373
2020-01-17 05:50:00,1.11373,1.11373,1.11378,1.11364
2020-01-17 05:55:00,1.11372,1.11367,1.11375,1.11364
2020-01-17 06:00:00,1.11366,1.11351,1.11367,1.11349
2020-01-17 06:05:00,1.11351,1.11357,1.11357,1.11351
2020-01-17 06:10:00,1.11356,1.11357,1.11358,1.11350
2020-01-17 06:15:00,1.11356,1.11366,1.11372,1.11356
2020-01-17 06:20:00,1.11366,1.11372,1.11372,1.11358
2020-01-17 06:25:00,1.11373,1.11378,1.11379,1.11371
2020-01-17 06:30:00,1.11378,1.11382,1.11383,1.11378
2020-01-17 06:35:00,1.11382,1.11385,1.11387,1.11380
2020-01-17 06:40:00,1.11386,1.11393,1.11398,1.11385
2020-01-17 06:45:00,1.11392,1.11391,1.11394,1.11386
2020-01-17 06:50:00,1.11392,1.11391,1.11401,1.11390
