entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,r_mult,hour,dow,run,risk_pct,dist_module_pct,dist_level_pct,vol_pct,above_ma,equity
2014-03-31 11:37:00-04:00,2014-03-31 12:03:00-04:00,1,3600.08,3608.3809999999994,3597.313,3608.3809999999994,7.800999999999476,14.361999999998952,TP,2.819,11,0,4,0.0769,32.6859,0.3064,0.0607,1,-5558.359145999674
2014-03-31 12:17:00-04:00,2014-03-31 12:20:00-04:00,-1,3607.884,3609.631,3609.631,3602.6430000000005,-2.2469999999998436,-5.733999999999687,SL,-1.286,12,0,4,0.0484,3.6579,1.0141,0.0516,1,-5564.093145999674
2014-03-31 13:05:00-04:00,2014-03-31 13:16:00-04:00,1,3606.291,3604.913,3604.913,3610.4250000000006,-1.8780000000001564,-4.996000000000313,SL,-1.363,13,0,3,0.0382,32.8019,0.4781,0.0363,1,-5569.089145999674
2014-04-01 09:39:00-04:00,2014-04-01 09:47:00-04:00,1,3622.296,3632.9429999999998,3618.747,3632.9429999999998,10.146999999999935,19.05399999999987,TP,2.859,9,1,4,0.098,33.0988,0.0994,0.0326,1,-5550.035145999674
2014-04-01 10:06:00-04:00,2014-04-01 10:30:00-04:00,-1,3641.432,3645.407,3645.407,3629.5069999999987,-4.475000000000364,-10.190000000000728,SL,-1.126,10,1,6,0.1092,2.7029,1.6431,0.0571,1,-5560.225145999674
2014-04-01 10:45:00-04:00,2014-04-01 11:16:00-04:00,-1,3645.64,3638.316999999999,3648.081,3638.316999999999,6.823000000000775,12.40600000000155,TP,2.795,10,1,3,0.067,2.5843,1.7567,0.054,1,-5547.819145999672
2014-04-01 11:51:00-04:00,2014-04-01 11:58:00-04:00,1,3643.962,3640.007,3640.007,3655.8269999999998,-4.454999999999927,-10.149999999999855,SL,-1.126,11,1,3,0.1085,33.4966,0.6933,0.0605,1,-5557.969145999672
2014-04-01 12:07:00-04:00,2014-04-01 13:03:00-04:00,1,3638.749,3633.463,3633.463,3654.6069999999986,-5.7859999999996035,-12.811999999999207,SL,-1.095,12,1,3,0.1453,33.4013,0.5511,0.0652,1,-5570.781145999671
2014-04-01 13:10:00-04:00,2014-04-01 13:21:00-04:00,1,3636.55,3632.974,3632.974,3647.2780000000002,-4.076000000000022,-9.392000000000044,SL,-1.14,13,1,3,0.0983,33.361,0.4909,0.0605,1,-5580.173145999671
2014-04-02 09:42:00-04:00,2014-04-02 09:45:00-04:00,-1,3665.029,3672.98,3672.98,3641.176,-8.451000000000022,-18.142000000000042,SL,-1.063,9,2,5,0.2169,2.0416,2.015,0.0392,1,-5598.315145999671
