slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
bitcoin-up-or-down-january-28-1pm-et,bitcoin,2026-01-28 18:00:00+00:00,3600,193565.054148,90169.89,0.00011074753022358486,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-january-28-1pm-et,ethereum,2026-01-28 18:00:00+00:00,3600,85567.873867,3014.89,0.00010363464437261339,60,UP,59.0,0.5230448459453074,0.075,0.5980448459453074,0.09,UP,True,0.925,0.9032,
xrp-up-or-down-january-28-1pm-et,xrp,2026-01-28 18:00:00+00:00,3600,33133.625869,1.9214,9.98967647280718e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-january-28-2pm-et,bitcoin,2026-01-28 19:00:00+00:00,3600,272640.053006,89544.0,0.00010109486077632974,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-january-28-2pm-et,ethereum,2026-01-28 19:00:00+00:00,3600,153644.503831,3015.51,0.00010284255869399545,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
xrp-up-or-down-january-28-2pm-et,xrp,2026-01-28 19:00:00+00:00,3600,61670.304539,1.9161,0.00010150500123965787,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-january-28-3pm-et,bitcoin,2026-01-28 20:00:00+00:00,3600,154911.092931,89402.57,0.00014458172649971414,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-january-28-3pm-et,ethereum,2026-01-28 20:00:00+00:00,3600,72536.790543,3016.6,0.0001891094879582256,60,UP,58.0,0.38214832964533185,0.205,0.5871483296453318,0.21999999999999997,DOWN,False,-0.205,-0.22939999999999997,
xrp-up-or-down-january-28-3pm-et,xrp,2026-01-28 20:00:00+00:00,3600,27418.181154,1.9195,0.00015394269638158983,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-january-28-4pm-et,bitcoin,2026-01-28 21:00:00+00:00,3600,100163.584869,89130.63,8.74915408987973e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-january-28-4pm-et,ethereum,2026-01-28 21:00:00+00:00,3600,79368.027352,3012.21,0.00010203164314864511,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
xrp-up-or-down-january-28-4pm-et,xrp,2026-01-28 21:00:00+00:00,3600,53534.826968,1.918,0.00010126556667229218,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-january-28-5pm-et,bitcoin,2026-01-28 22:00:00+00:00,3600,102281.207793,89412.18,6.612003529305216e-05,60,UP,56.0,0.3080130214852851,0.155,0.4630130214852851,0.16999999999999998,DOWN,False,-0.155,-0.17839999999999998,
ethereum-up-or-down-january-28-5pm-et,ethereum,2026-01-28 22:00:00+00:00,3600,52085.247102,3021.51,8.664267971684564e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-up-or-down-january-28-5pm-et,xrp,2026-01-28 22:00:00+00:00,3600,28556.151468,1.9148,0.00011681801411583745,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-january-28-6pm-et,bitcoin,2026-01-28 23:00:00+00:00,3600,140877.279526,89396.15,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-january-28-6pm-et,ethereum,2026-01-28 23:00:00+00:00,3600,42292.129579,3018.92,6.317233250957955e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-up-or-down-january-28-6pm-et,xrp,2026-01-28 23:00:00+00:00,3600,31525.651401,1.9184,6.576441640124843e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-january-28-7pm-et,bitcoin,2026-01-29 00:00:00+00:00,3600,108260.646702,89300.0,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-january-28-7pm-et,ethereum,2026-01-29 00:00:00+00:00,3600,63113.203162,3010.78,5.916302900654902e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-up-or-down-january-28-7pm-et,xrp,2026-01-29 00:00:00+00:00,3600,29188.116177,1.9112,7.413255552834854e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
